timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734006193.5706637,d81c79de34e1,"(1461.0, 241.0)","(1385.0, 15.0)"
1734006193.5716224,d81c79de34e1,"(1203.5714855130386, 386.4471106851331)","(1555.0, 360.0)"
1734006193.581488,d81c79de34e1,"(1192.8963021942302, 392.47858926025987)","(1575.0, 300.0)"
1734006193.582475,d81c79de34e1,"(1131.455812639061, 420.28908648883913)","(1575.0, 270.0)"
1734006193.5854878,d81c79de34e1,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.592822,d81c79de34e1,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.5948825,d81c79de34e1,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.5978613,d81c79de34e1,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.6018603,d81c79de34e1,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.6120875,d81c79de34e1,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.622086,d81c79de34e1,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.6294668,d81c79de34e1,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.631467,d81c79de34e1,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.6324663,d81c79de34e1,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.638198,d81c79de34e1,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.6391976,d81c79de34e1,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.6401975,d81c79de34e1,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.6412013,d81c79de34e1,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.642199,d81c79de34e1,"(1143.862921393202, 413.53897746002707)","(1570.0, 280.0)"
1734006193.643206,d81c79de34e1,"(1151.844185583824, 408.84211089374514)","(1575.0, 285.0)"
1734006193.6452012,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6471994,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6481986,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.649202,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6501975,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.654323,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6563764,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6573794,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.660336,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6613655,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.674414,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6784215,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6867943,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6887915,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6918316,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6928332,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.6987915,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.7011075,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.702639,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.7043917,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.7237945,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.726792,d81c79de34e1,"(1172.0906713311354, 397.50943948514043)","(1575.0, 300.0)"
1734006193.732794,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.7376883,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.7427013,d81c79de34e1,"(1172.0906713311354, 397.50943948514043)","(1575.0, 300.0)"
1734006193.7467008,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.7543063,d81c79de34e1,"(1172.0906713311354, 397.50943948514043)","(1575.0, 300.0)"
1734006193.7553189,d81c79de34e1,"(1172.0906713311354, 397.50943948514043)","(1575.0, 300.0)"
1734006193.7585957,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.762323,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.7643187,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.7663584,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.7800653,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.7850742,d81c79de34e1,"(1159.6420994244577, 404.25314354094684)","(1580.0, 295.0)"
1734006193.7860827,d81c79de34e1,"(1162.952406530629, 402.7444546627724)","(1585.0, 265.0)"
1734006193.7936883,d81c79de34e1,"(1162.952406530629, 402.7444546627724)","(1585.0, 265.0)"
1734006193.795691,d81c79de34e1,"(1175.3013489619104, 396.04293113775617)","(1575.0, 275.0)"
1734006193.7966902,d81c79de34e1,"(1178.3363588640482, 394.656660740125)","(1575.0, 250.0)"
1734006193.8006902,d81c79de34e1,"(1178.3363588640482, 394.656660740125)","(1575.0, 250.0)"
1734006193.801726,d81c79de34e1,"(1178.3363588640482, 394.656660740125)","(1575.0, 250.0)"
1734006193.802692,d81c79de34e1,"(1178.3363588640482, 394.656660740125)","(1575.0, 250.0)"
1734006193.8047252,d81c79de34e1,"(1178.3363588640482, 394.656660740125)","(1575.0, 250.0)"
1734006193.8103125,d81c79de34e1,"(1178.3363588640482, 394.656660740125)","(1575.0, 250.0)"
1734006193.8183143,d81c79de34e1,"(1178.3363588640482, 394.656660740125)","(1575.0, 250.0)"
1734006193.826699,d81c79de34e1,"(1190.5265813605972, 388.03002536894195)","(1570.0, 260.0)"
1734006193.8277,d81c79de34e1,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8327014,d81c79de34e1,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8366983,d81c79de34e1,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.840698,d81c79de34e1,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8441484,d81c79de34e1,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.847106,d81c79de34e1,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8481088,d81c79de34e1,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8491082,d81c79de34e1,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8501077,d81c79de34e1,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8551064,d81c79de34e1,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.857106,d81c79de34e1,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8574374,d81c79de34e1,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.866483,d81c79de34e1,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8789537,d81c79de34e1,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8819618,d81c79de34e1,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.893915,d81c79de34e1,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8949668,d81c79de34e1,"(1187.589056560359, 389.3746385290758)","(1400.0, 525.0)"
1734006193.8979795,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9049797,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9069831,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9089794,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9188302,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.91983,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.92283,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9288611,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9338305,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9348297,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.93583,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.936832,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9436326,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9446354,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.952633,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9536316,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9570436,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9580429,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9590414,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.961055,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.969042,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9700413,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.975323,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.983323,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9878273,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9928267,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9958591,d81c79de34e1,"(1184.480725022718, 390.79743621617365)","(1405.0, 525.0)"
1734006193.9968286,d81c79de34e1,"(1192.0213552028617, 386.3869522142946)","(1410.0, 525.0)"
1734006194.006657,d81c79de34e1,"(1192.0213552028617, 386.3869522142946)","(1410.0, 525.0)"
1734006194.0126574,d81c79de34e1,"(1199.3284298668832, 382.11307388631826)","(1405.0, 530.0)"
