timestamp,estimation_twcl_rssi_9,estimation_fpl
1734006517.38302,"(1461.0, 241.0)","(1080.0, 315.0)"
1734006517.3870182,"(1461.0, 241.0)","(1080.0, 315.0)"
1734006517.402568,"(1330.1478729376095, 444.231685268399)","(1415.0, 0.0)"
1734006517.4126854,"(1330.1478729376095, 444.231685268399)","(1415.0, 0.0)"
1734006517.4136944,"(1330.1478729376095, 444.231685268399)","(1415.0, 0.0)"
1734006517.4146917,"(1330.1478729376095, 444.231685268399)","(1415.0, 0.0)"
1734006517.417687,"(1330.1478729376095, 444.231685268399)","(1415.0, 0.0)"
1734006517.42294,"(1330.1478729376095, 444.231685268399)","(1415.0, 0.0)"
1734006517.427953,"(1330.1478729376095, 444.231685268399)","(1415.0, 0.0)"
1734006517.4289527,"(1317.933666427904, 463.20205914699955)","(1435.0, 0.0)"
1734006517.432955,"(1317.933666427904, 463.20205914699955)","(1435.0, 0.0)"
1734006517.4339526,"(1317.933666427904, 463.20205914699955)","(1435.0, 0.0)"
1734006517.436992,"(1317.933666427904, 463.20205914699955)","(1435.0, 0.0)"
1734006517.4468307,"(1317.933666427904, 463.20205914699955)","(1435.0, 0.0)"
1734006517.447867,"(1317.933666427904, 463.20205914699955)","(1435.0, 0.0)"
1734006517.452868,"(1317.933666427904, 463.20205914699955)","(1435.0, 0.0)"
1734006517.453884,"(1317.933666427904, 463.20205914699955)","(1435.0, 0.0)"
1734006517.4548326,"(1317.933666427904, 463.20205914699955)","(1435.0, 0.0)"
1734006517.4568334,"(1317.933666427904, 463.20205914699955)","(1435.0, 0.0)"
1734006517.4578338,"(1317.933666427904, 463.20205914699955)","(1435.0, 0.0)"
1734006517.459833,"(1317.933666427904, 463.20205914699955)","(1435.0, 0.0)"
1734006517.4619544,"(1317.933666427904, 463.20205914699955)","(1435.0, 0.0)"
1734006517.4644854,"(1317.933666427904, 463.20205914699955)","(1435.0, 0.0)"
1734006517.471485,"(1317.933666427904, 463.20205914699955)","(1435.0, 0.0)"
1734006517.480795,"(1312.0883233565871, 472.2806958495519)","(1425.0, 0.0)"
