timestamp,estimation_twcl_rssi_9,estimation_fpl
1734005774.319745,"(1461.0, 241.0)","(1330.0, 490.0)"
1734005774.3224046,"(983.4390220399983, 510.821952547401)","(1065.0, 460.0)"
1734005774.3244405,"(964.5590819290835, 518.8608223483074)","(1040.0, 565.0)"
1734005774.3334389,"(964.5590819290835, 518.8608223483074)","(1040.0, 565.0)"
1734005774.335445,"(964.5590819290835, 518.8608223483074)","(1040.0, 565.0)"
1734005774.3364036,"(964.5590819290835, 518.8608223483074)","(1040.0, 565.0)"
1734005774.3414404,"(964.5590819290835, 518.8608223483074)","(1040.0, 565.0)"
1734005774.3537564,"(964.5590819290835, 518.8608223483074)","(1040.0, 565.0)"
1734005774.3547714,"(988.0812930754267, 504.97378685854)","(1050.0, 570.0)"
1734005774.3557584,"(988.0812930754267, 504.97378685854)","(1050.0, 570.0)"
1734005774.362811,"(988.0812930754267, 504.97378685854)","(1050.0, 570.0)"
1734005774.3637848,"(1013.8750360925711, 489.7456851097505)","(1065.0, 575.0)"
1734005774.379715,"(1013.8750360925711, 489.7456851097505)","(1065.0, 575.0)"
1734005774.380731,"(1013.8750360925711, 489.7456851097505)","(1065.0, 575.0)"
1734005774.3856728,"(1013.8750360925711, 489.7456851097505)","(1065.0, 575.0)"
1734005774.389854,"(1013.8750360925711, 489.7456851097505)","(1065.0, 575.0)"
1734005774.390867,"(1013.8750360925711, 489.7456851097505)","(1065.0, 575.0)"
1734005774.398869,"(1013.8750360925711, 489.7456851097505)","(1065.0, 575.0)"
1734005774.4088686,"(1013.8750360925711, 489.7456851097505)","(1065.0, 575.0)"
1734005774.4098854,"(1013.8750360925711, 489.7456851097505)","(1065.0, 575.0)"
1734005774.4257145,"(1013.8750360925711, 489.7456851097505)","(1065.0, 575.0)"
1734005774.427753,"(1003.6854275963439, 495.4143937504941)","(1055.0, 580.0)"
1734005774.428727,"(1003.6854275963439, 495.4143937504941)","(1055.0, 580.0)"
1734005774.4365458,"(1013.8750360925711, 489.7456851097505)","(1065.0, 575.0)"
1734005774.437546,"(1013.8750360925711, 489.7456851097505)","(1065.0, 575.0)"
1734005774.4405456,"(1013.8750360925711, 489.7456851097505)","(1065.0, 575.0)"
1734005774.4415455,"(1013.8750360925711, 489.7456851097505)","(1065.0, 575.0)"
1734005774.442546,"(1013.8750360925711, 489.7456851097505)","(1065.0, 575.0)"
1734005774.4435463,"(1015.5966395335342, 488.9972362517314)","(1070.0, 570.0)"
1734005774.455976,"(1015.5966395335342, 488.9972362517314)","(1070.0, 570.0)"
1734005774.4619913,"(989.4712701064606, 504.37584233904226)","(1050.0, 565.0)"
1734005774.4639835,"(990.7737995702608, 503.8155162782696)","(1055.0, 560.0)"
1734005774.4733553,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.474355,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.475389,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.478368,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.488824,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.489838,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.490838,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.4938664,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.498838,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.5018375,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.5048373,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.515472,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.5214713,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.5224855,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.5319512,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.5349898,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.5379694,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.53895,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.5469294,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.5498755,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.5508728,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.5538723,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.5651069,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.567107,"(990.7737995702608, 503.8155162782696)","(1055.0, 560.0)"
1734005774.568107,"(990.7737995702608, 503.8155162782696)","(1055.0, 560.0)"
1734005774.577149,"(990.7737995702608, 503.8155162782696)","(1055.0, 560.0)"
1734005774.5781124,"(990.7737995702608, 503.8155162782696)","(1055.0, 560.0)"
1734005774.5821068,"(990.7737995702608, 503.8155162782696)","(1055.0, 560.0)"
1734005774.5875714,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.5885715,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.5925837,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.5965743,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.597574,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.598574,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.603066,"(990.7737995702608, 503.8155162782696)","(1055.0, 560.0)"
1734005774.6040993,"(990.7737995702608, 503.8155162782696)","(1055.0, 560.0)"
1734005774.6090634,"(990.7737995702608, 503.8155162782696)","(1055.0, 560.0)"
1734005774.6100657,"(990.7737995702608, 503.8155162782696)","(1055.0, 560.0)"
1734005774.6140633,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.6170657,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.618067,"(966.693432786657, 517.9520393462062)","(1040.0, 555.0)"
1734005774.623388,"(990.7737995702608, 503.8155162782696)","(1055.0, 560.0)"
1734005774.629423,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.6304247,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.631423,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.640386,"(990.7737995702608, 503.8155162782696)","(1055.0, 560.0)"
1734005774.6410391,"(990.7737995702608, 503.8155162782696)","(1055.0, 560.0)"
1734005774.6420555,"(990.7737995702608, 503.8155162782696)","(1055.0, 560.0)"
1734005774.6470618,"(990.7737995702608, 503.8155162782696)","(1055.0, 560.0)"
1734005774.6500556,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.6540594,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.6600587,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.661693,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.6627223,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.6637166,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.6707542,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.6727197,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.6737185,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.6747186,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.6807191,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.6817164,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.6841495,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.686164,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.6962152,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7011647,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7047608,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7067611,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7117631,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7177994,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7187998,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.723246,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7242093,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.725211,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.728224,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7312086,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7332091,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7342083,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.73521,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.737383,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.740383,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7413828,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7423823,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7483833,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.752383,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.754823,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7568257,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7658231,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7668235,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7709963,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7730277,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7740314,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7750263,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.778994,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7799942,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.78757,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7915926,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.796585,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.7975826,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.803583,"(1018.7249462966373, 487.6372380264323)","(1075.0, 560.0)"
1734005774.8045826,"(1018.7249462966373, 487.6372380264323)","(1075.0, 560.0)"
1734005774.8055851,"(1018.7249462966373, 487.6372380264323)","(1075.0, 560.0)"
1734005774.8076952,"(1018.7249462966373, 487.6372380264323)","(1075.0, 560.0)"
1734005774.808712,"(1018.7249462966373, 487.6372380264323)","(1075.0, 560.0)"
1734005774.814664,"(1018.7249462966373, 487.6372380264323)","(1075.0, 560.0)"
1734005774.8186238,"(1018.7249462966373, 487.6372380264323)","(1075.0, 560.0)"
1734005774.8196242,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.8206224,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.824623,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.8256235,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.8339486,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.84295,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.847338,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.848353,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.849354,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.8503816,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.8563914,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.8573909,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
1734005774.8583834,"(1017.2109330898463, 488.2954392292686)","(1070.0, 565.0)"
