timestamp,estimation_twcl_rssi_9,estimation_fpl
1734007511.684091,"(1461.0, 241.0)","(1200.0, 270.0)"
1734007511.6850548,"(1461.0, 241.0)","(1225.0, 235.0)"
1734007511.6860552,"(1460.9999999999998, 240.99999999999997)","(1340.0, 485.0)"
1734007511.6881142,"(1399.9613741250087, 220.26590871490765)","(1320.0, 160.0)"
1734007511.6890552,"(1358.660379362053, 206.2364546879765)","(1340.0, 485.0)"
1734007511.6992624,"(1247.965412392823, 289.37295704657953)","(1340.0, 485.0)"
1734007511.7042563,"(1288.4776088379836, 258.94662053345286)","(1345.0, 500.0)"
1734007511.7052534,"(1318.3421320293887, 274.74332638572514)","(1345.0, 145.0)"
1734007511.708288,"(1348.4010761396432, 254.68024308583767)","(1245.0, 535.0)"
1734007511.7092893,"(1348.4010761396432, 254.68024308583767)","(1245.0, 535.0)"
1734007511.7132795,"(1341.9136545418078, 268.2258569079261)","(1340.0, 100.0)"
1734007511.719944,"(1337.0875764622544, 278.30261682787506)","(1340.0, 530.0)"
1734007511.720946,"(1295.7357638405588, 290.7511734562207)","(1155.0, 500.0)"
1734007511.722945,"(1261.911426004734, 313.255993260328)","(1350.0, 150.0)"
1734007511.7259643,"(1261.911426004734, 313.255993260328)","(1350.0, 150.0)"
1734007511.7289462,"(1272.122689257219, 309.549979630593)","(1185.0, 485.0)"
1734007511.7319458,"(1296.9185562694915, 293.2384431628243)","(1155.0, 495.0)"
1734007511.737668,"(1281.2051400639705, 298.2411075755906)","(1145.0, 495.0)"
1734007511.7379477,"(1273.1559892562943, 300.8037075711538)","(1150.0, 495.0)"
1734007511.7389896,"(1277.6112681530212, 297.7856819155101)","(1150.0, 500.0)"
1734007511.7451296,"(1287.8454175050435, 294.61671322301345)","(1145.0, 495.0)"
1734007511.7471302,"(1293.2939082328987, 281.28347480634216)","(1140.0, 495.0)"
1734007511.7510924,"(1278.5412449405326, 284.8271060114017)","(1140.0, 495.0)"
1734007511.7521503,"(1278.5412449405326, 284.8271060114017)","(1140.0, 495.0)"
1734007511.7571287,"(1294.3073838799453, 281.04003510618304)","(1140.0, 495.0)"
1734007511.7647429,"(1298.4916215177411, 278.1531248345376)","(1140.0, 495.0)"
1734007511.7657444,"(1281.0767447441165, 282.1345631873867)","(1140.0, 495.0)"
1734007511.7687056,"(1272.406135072921, 286.57936656207846)","(1140.0, 495.0)"
