timestamp,target_mac,estimation_twcl_rssi_9,estimation_fpl
1734006730.4359,342eb61ec446,"(1461.0, 241.0)","(1190.0, 560.0)"
1734006730.4408967,342eb61ec446,"(1482.1635582274064, 264.1825688930531)","(1095.0, 260.0)"
1734006730.4498951,342eb61ec446,"(1455.9408090058919, 245.3890572012588)","(1340.0, 480.0)"
1734006730.4568603,342eb61ec446,"(1392.6593747759441, 300.2883157855608)","(1150.0, 470.0)"
1734006730.4626694,342eb61ec446,"(1454.7876177699166, 246.38949824105717)","(1340.0, 480.0)"
1734006730.463676,342eb61ec446,"(1441.7193136005071, 257.72679200794187)","(1335.0, 485.0)"
1734006730.4646318,342eb61ec446,"(1444.8549462262354, 255.00650116055547)","(1340.0, 485.0)"
1734006730.4656322,342eb61ec446,"(1456.9010300764116, 244.55602575230301)","(1340.0, 480.0)"
1734006730.467672,342eb61ec446,"(1456.9010300764116, 244.55602575230301)","(1340.0, 480.0)"
1734006730.4716332,342eb61ec446,"(1400.9690529463394, 276.0411948476424)","(1340.0, 480.0)"
1734006730.473634,342eb61ec446,"(1408.7960712167842, 271.63521804506723)","(1340.0, 480.0)"
1734006730.4746337,342eb61ec446,"(1400.9690529463394, 276.0411948476424)","(1340.0, 480.0)"
1734006730.4756334,342eb61ec446,"(1275.6708398100966, 349.1801226184107)","(1340.0, 480.0)"
1734006730.486342,342eb61ec446,"(1365.1637625584613, 299.3653214022035)","(1330.0, 500.0)"
1734006730.494379,342eb61ec446,"(1290.7711292630697, 341.4962731801624)","(1335.0, 490.0)"
1734006730.5067024,342eb61ec446,"(1054.613104859071, 480.9144648855425)","(1110.0, 470.0)"
1734006730.5087042,342eb61ec446,"(1017.103012158778, 500.1110353351864)","(1090.0, 465.0)"
1734006730.510702,342eb61ec446,"(1275.6708398100966, 349.1801226184107)","(1340.0, 480.0)"
1734006730.5211363,342eb61ec446,"(1017.103012158778, 500.1110353351864)","(1090.0, 465.0)"
1734006730.5240846,342eb61ec446,"(1091.1400419426436, 456.89422610713797)","(1090.0, 465.0)"
1734006730.525087,342eb61ec446,"(1079.3198620172836, 463.79388783542083)","(1085.0, 470.0)"
1734006730.5330844,342eb61ec446,"(1104.1944924259008, 449.2740973991265)","(1095.0, 460.0)"
1734006730.5409567,342eb61ec446,"(1230.4545027729835, 381.40474044793206)","(1145.0, 485.0)"
1734006730.5489566,342eb61ec446,"(1059.4210161851724, 473.341472592384)","(1075.0, 460.0)"
1734006730.5499568,342eb61ec446,"(999.2270450629336, 508.16788646212296)","(795.0, 270.0)"
1734006730.5519638,342eb61ec446,"(1005.0031221946147, 504.8260226677746)","(805.0, 265.0)"
1734006730.5529573,342eb61ec446,"(1047.5136307771565, 480.2307261936114)","(1070.0, 465.0)"
1734006730.553972,342eb61ec446,"(1047.5136307771565, 480.2307261936114)","(1070.0, 465.0)"
1734006730.5557427,342eb61ec446,"(1235.3450179198903, 379.7565623740927)","(1140.0, 495.0)"
1734006730.5567577,342eb61ec446,"(1432.5901860088818, 258.46936004140844)","(1340.0, 485.0)"
1734006730.5597928,342eb61ec446,"(1377.4854740730595, 289.7490022937421)","(1340.0, 480.0)"
1734006730.5637555,342eb61ec446,"(1377.4854740730595, 289.7490022937421)","(1340.0, 480.0)"
1734006730.5657573,342eb61ec446,"(1377.4854740730595, 289.7490022937421)","(1340.0, 480.0)"
1734006730.56876,342eb61ec446,"(1377.4854740730595, 289.7490022937421)","(1340.0, 480.0)"
1734006730.5707617,342eb61ec446,"(1422.3911108311784, 264.5132376382677)","(1340.0, 485.0)"
1734006730.5793395,342eb61ec446,"(1377.4854740730595, 289.7490022937421)","(1340.0, 480.0)"
1734006730.5996013,342eb61ec446,"(1422.3911108311784, 264.5132376382677)","(1340.0, 485.0)"
1734006730.602602,342eb61ec446,"(1414.8081902507136, 269.1313195732577)","(1335.0, 490.0)"
1734006730.6036031,342eb61ec446,"(1414.2389993210056, 269.4779631022452)","(1340.0, 490.0)"
1734006730.6066012,342eb61ec446,"(1406.4780863123772, 282.4647430440993)","(1335.0, 495.0)"
1734006730.612434,342eb61ec446,"(1355.5057852297014, 310.2679803891509)","(1340.0, 480.0)"
1734006730.61577,342eb61ec446,"(1073.1625377298742, 495.65583860877956)","(1095.0, 465.0)"
1734006730.6217687,342eb61ec446,"(1082.8946591119325, 491.74406148114093)","(1265.0, 75.0)"
1734006730.6277685,342eb61ec446,"(1200.8086011416278, 444.84520569101755)","(1285.0, 40.0)"
1734006730.6287713,342eb61ec446,"(1214.3456356636852, 434.23970682094455)","(1290.0, 50.0)"
1734006730.633571,342eb61ec446,"(1410.3780431014968, 280.6594324859835)","(1340.0, 480.0)"
1734006730.634573,342eb61ec446,"(1366.1707141708293, 315.2933677292751)","(1340.0, 490.0)"
1734006730.6475706,342eb61ec446,"(1146.5489829812793, 487.35453948584006)","(1255.0, 10.0)"
1734006730.6480274,342eb61ec446,"(1053.5973780228287, 517.512392464327)","(1240.0, 35.0)"
1734006730.6490548,342eb61ec446,"(1054.8671658569845, 517.0207774269078)","(1235.0, 30.0)"
1734006730.6500585,342eb61ec446,"(1074.008269447427, 510.8026444182149)","(1235.0, 25.0)"
1734006730.6510613,342eb61ec446,"(1074.008269447427, 510.8026444182149)","(1235.0, 25.0)"
1734006730.65208,342eb61ec446,"(1066.5822902391121, 515.9798837998861)","(1230.0, 20.0)"
1734006730.6600544,342eb61ec446,"(1111.8201056762314, 419.48045201520745)","(1275.0, 60.0)"
1734006730.661055,342eb61ec446,"(1171.4454516139012, 381.32149521010035)","(1285.0, 45.0)"
1734006730.6630547,342eb61ec446,"(1171.4454516139012, 381.32149521010035)","(1285.0, 45.0)"
1734006730.6651144,342eb61ec446,"(1171.4454516139012, 381.32149521010035)","(1285.0, 45.0)"
1734006730.6691177,342eb61ec446,"(1171.4454516139012, 381.32149521010035)","(1285.0, 45.0)"
1734006730.670096,342eb61ec446,"(1171.4454516139012, 381.32149521010035)","(1285.0, 45.0)"
