timestamp,estimation_twcl_rssi_9,estimation_fpl
1734006730.4359,"(1461.0, 241.0)","(1470.0, 365.0)"
1734006730.4408967,"(1482.1635582274064, 264.1825688930531)","(1195.0, 145.0)"
1734006730.4498951,"(1438.0741453831242, 260.88912603188646)","(1330.0, 495.0)"
1734006730.4568603,"(1392.6593747759441, 300.2883157855608)","(1150.0, 470.0)"
1734006730.4626694,"(1438.0741453831242, 260.88912603188646)","(1330.0, 495.0)"
1734006730.463676,"(1441.7193136005071, 257.72679200794187)","(1335.0, 490.0)"
1734006730.4646318,"(1443.3470459784603, 256.31466692242986)","(1335.0, 490.0)"
1734006730.4656322,"(1444.8549462262354, 255.00650116055547)","(1335.0, 490.0)"
1734006730.467672,"(1450.8393542196718, 249.8147799882472)","(1335.0, 485.0)"
1734006730.4716332,"(1330.3310073623436, 317.2739529574361)","(1335.0, 485.0)"
1734006730.473634,"(1338.0901155930171, 312.93049428532146)","(1335.0, 485.0)"
1734006730.4746337,"(1330.3310073623436, 317.2739529574361)","(1335.0, 485.0)"
1734006730.4756334,"(1275.6708398100966, 349.1801226184107)","(1335.0, 485.0)"
1734006730.486342,"(1285.461706132629, 343.73019379037567)","(1335.0, 485.0)"
1734006730.494379,"(1294.8064355656727, 338.5285999119949)","(1335.0, 490.0)"
1734006730.5067024,"(1294.8064355656727, 338.5285999119949)","(1335.0, 490.0)"
1734006730.5087042,"(1285.461706132629, 343.73019379037567)","(1335.0, 485.0)"
1734006730.510702,"(1285.461706132629, 343.73019379037567)","(1335.0, 485.0)"
1734006730.5211363,"(1285.461706132629, 343.73019379037567)","(1335.0, 485.0)"
1734006730.5240846,"(1285.461706132629, 343.73019379037567)","(1335.0, 485.0)"
1734006730.525087,"(1273.8390892027746, 350.53209247156826)","(1335.0, 490.0)"
1734006730.5330844,"(1261.9245528773904, 357.5048310043579)","(1335.0, 490.0)"
1734006730.5409567,"(1271.964250011541, 351.93324878397164)","(1335.0, 490.0)"
1734006730.5489566,"(1261.9245528773904, 357.5048310043579)","(1335.0, 490.0)"
1734006730.5499568,"(1261.9245528773904, 357.5048310043579)","(1335.0, 490.0)"
1734006730.5519638,"(1161.165335708684, 416.4721006402843)","(1320.0, 495.0)"
1734006730.5529573,"(1066.3105358694756, 471.9839308782587)","(1110.0, 455.0)"
1734006730.553972,"(1055.9603628503785, 477.42926761910434)","(1105.0, 455.0)"
1734006730.5557427,"(1066.3105358694756, 471.9839308782587)","(1110.0, 455.0)"
1734006730.5567577,"(1161.165335708684, 416.4721006402843)","(1320.0, 495.0)"
1734006730.5597928,"(1251.4689294452742, 363.307233690319)","(1335.0, 485.0)"
1734006730.5637555,"(1251.4689294452742, 363.307233690319)","(1335.0, 485.0)"
1734006730.5657573,"(1251.4689294452742, 363.307233690319)","(1335.0, 485.0)"
1734006730.56876,"(1251.4689294452742, 363.307233690319)","(1335.0, 485.0)"
1734006730.5707617,"(1261.9245528773904, 357.5048310043579)","(1335.0, 490.0)"
1734006730.5793395,"(1251.4689294452742, 363.307233690319)","(1335.0, 485.0)"
1734006730.5996013,"(1261.9245528773904, 357.5048310043579)","(1335.0, 490.0)"
1734006730.602602,"(1273.8390892027746, 350.53209247156826)","(1335.0, 490.0)"
1734006730.6036031,"(1273.8390892027746, 350.53209247156826)","(1335.0, 490.0)"
1734006730.6066012,"(1273.8390892027746, 350.53209247156826)","(1335.0, 490.0)"
1734006730.612434,"(1263.701284589429, 356.16697752096775)","(1335.0, 485.0)"
1734006730.61577,"(1251.4689294452742, 363.307233690319)","(1335.0, 485.0)"
1734006730.6217687,"(1255.427444112505, 361.5062499331129)","(1340.0, 485.0)"
1734006730.6277685,"(1266.0265774984132, 355.6348420594619)","(1340.0, 485.0)"
1734006730.6287713,"(1266.0265774984132, 355.6348420594619)","(1340.0, 485.0)"
1734006730.633571,"(1266.0265774984132, 355.6348420594619)","(1340.0, 485.0)"
1734006730.634573,"(1277.7345672355077, 348.7511163848269)","(1340.0, 485.0)"
1734006730.6475706,"(1266.0265774984132, 355.6348420594619)","(1340.0, 485.0)"
1734006730.6480274,"(1276.2059237997719, 349.99597595160816)","(1335.0, 485.0)"
1734006730.6490548,"(1279.1512807034042, 348.6507617281916)","(1340.0, 485.0)"
1734006730.6500585,"(1279.1512807034042, 348.6507617281916)","(1340.0, 485.0)"
1734006730.6510613,"(1279.1512807034042, 348.6507617281916)","(1340.0, 485.0)"
1734006730.65208,"(1279.1512807034042, 348.6507617281916)","(1340.0, 485.0)"
1734006730.6600544,"(1182.6929946073562, 405.75211505859005)","(1335.0, 475.0)"
1734006730.661055,"(1182.6929946073562, 405.75211505859005)","(1335.0, 475.0)"
1734006730.6630547,"(1088.9994787451408, 461.2167803615629)","(1265.0, 75.0)"
1734006730.6651144,"(1078.3878091266474, 467.4986740260188)","(1265.0, 70.0)"
1734006730.6691177,"(1089.4457987831497, 461.77600492161525)","(1270.0, 65.0)"
1734006730.670096,"(1078.9308232537203, 468.0239608904433)","(1265.0, 60.0)"
1734006730.6751354,"(1078.13791246634, 468.36331826116395)","(1270.0, 65.0)"
1734006730.6760943,"(1088.666350157745, 462.1109871801625)","(1275.0, 65.0)"
1734006730.6821263,"(1088.666350157745, 462.1109871801625)","(1275.0, 65.0)"
